Simulation_Number,T0,T1,Percentage_Change,Class
0,1,0.984129003,-0.0159,Volatility
1,1,0.999459839,-0.0005,Volatility
2,1,0.975447972,-0.0246,Volatility
3,1,0.9946945,-0.0053,Volatility
4,1,1.009349999,0.0093,Volatility
5,1,1.006088702,0.0061,Volatility
6,1,0.994089629,-0.0059,Volatility
7,1,0.999701585,-0.0003,Volatility
8,1,0.987475098,-0.0125,Volatility
9,1,0.99199704,-0.008,Volatility
10,1,0.998167325,-0.0018,Volatility
11,1,1.01329942,0.0133,Volatility
12,1,0.986827593,-0.0132,Volatility
13,1,1.011877176,0.0119,Volatility
14,1,0.99526292,-0.0047,Volatility
15,1,0.991807391,-0.0082,Volatility
16,1,1.002392024,0.0024,Volatility
17,1,0.997592523,-0.0024,Volatility
18,1,1.005302743,0.0053,Volatility
19,1,1.014853755,0.0149,Volatility
20,1,0.991117253,-0.0089,Volatility
21,1,1.024976021,0.025,Volatility
22,1,1.007632467,0.0076,Volatility
23,1,0.986011451,-0.014,Volatility
24,1,0.982109389,-0.0179,Volatility
25,1,1.015976813,0.016,Volatility
26,1,0.998460256,-0.0015,Volatility
27,1,0.997536266,-0.0025,Volatility
28,1,1.021646865,0.0216,Volatility
29,1,0.987266523,-0.0127,Volatility
30,1,0.991921827,-0.0081,Volatility
31,1,0.997009638,-0.003,Volatility
32,1,1.004059226,0.0041,Volatility
33,1,1.010189711,0.0102,Volatility
34,1,1.002220964,0.0022,Volatility
35,1,1.01221512,0.0122,Volatility
36,1,1.002919025,0.0029,Volatility
37,1,1.00638703,0.0064,Volatility
38,1,1.006001528,0.006,Volatility
39,1,0.984596259,-0.0154,Volatility
40,1,1.021101035,0.0211,Volatility
41,1,0.980541637,-0.0195,Volatility
42,1,1.013147155,0.0131,Volatility
43,1,1.002084363,0.0021,Volatility
44,1,0.995018829,-0.005,Volatility
45,1,1.005717962,0.0057,Volatility
46,1,1.006311808,0.0063,Volatility
47,1,1.007906158,0.0079,Volatility
48,1,0.988099995,-0.0119,Volatility
49,1,1.01429893,0.0143,Volatility
50,1,1.021153048,0.0212,Volatility
51,1,0.996599597,-0.0034,Volatility
52,1,0.997533752,-0.0025,Volatility
53,1,0.985241022,-0.0148,Volatility
54,1,1.003611572,0.0036,Volatility
55,1,1.022398062,0.0224,Volatility
56,1,1.012282144,0.0123,Volatility
57,1,1.021084512,0.0211,Volatility
58,1,0.999397555,-0.0006,Volatility
59,1,1.008051937,0.0081,Volatility
60,1,1.025646153,0.0256,Volatility
61,1,1.00282011,0.0028,Volatility
62,1,0.995034481,-0.005,Volatility
63,1,1.011675111,0.0117,Volatility
64,1,0.99288548,-0.0071,Volatility
65,1,0.9968871,-0.0031,Volatility
66,1,1.002030964,0.002,Volatility
