Date,Trading_Hrs_Return,Total_Return,Difference,Class_,New_Date
03/02/2020,1.1227,6.7909,5.6682,American_Airlines,2020-02-03
05/02/2020,1.4354,1.3587,-0.0767,American_Airlines,2020-02-05
06/02/2020,-2.6872,-4.5216,-1.8345,American_Airlines,2020-02-06
07/02/2020,2.1841,0.5452,-1.6389,American_Airlines,2020-02-07
10/02/2020,3.0797,2.7963,-0.2834,American_Airlines,2020-02-10
11/02/2020,3.9807,4.2234,0.2427,American_Airlines,2020-02-11
12/02/2020,1.8486,-0.7178,-2.5665,American_Airlines,2020-02-12
13/02/2020,1.2726,-0.0367,-1.3092,American_Airlines,2020-02-13
14/02/2020,-1.7638,-3.1065,-1.3426,American_Airlines,2020-02-14
18/02/2020,-0.4523,-0.9804,-0.5281,American_Airlines,2020-02-18
19/02/2020,-0.5614,-1.869,-1.3076,American_Airlines,2020-02-19
20/02/2020,2.019,-8.9178,-10.9368,American_Airlines,2020-02-20
25/02/2020,-9.3128,-8.1234,1.1893,American_Airlines,2020-02-25
26/02/2020,-4.5717,-13.0299,-8.4582,American_Airlines,2020-02-26
27/02/2020,1.1572,-5.0491,-6.2063,American_Airlines,2020-02-27
28/02/2020,-1.763,-3.4887,-1.7257,American_Airlines,2020-02-28
02/03/2020,0.8445,4.6393,3.7948,American_Airlines,2020-03-02
03/03/2020,-8.6835,-7.3556,1.3279,American_Airlines,2020-03-03
04/03/2020,2.366,-4.2819,-6.6479,American_Airlines,2020-03-04
05/03/2020,-7.4239,-14.3184,-6.8945,American_Airlines,2020-03-05
06/03/2020,7.5207,-0.5742,-8.0949,American_Airlines,2020-03-06
09/03/2020,0.2404,6.0905,5.8501,American_Airlines,2020-03-09
10/03/2020,8.3262,1.9558,-6.3703,American_Airlines,2020-03-10
11/03/2020,2.3982,-11.5657,-13.9639,American_Airlines,2020-03-11
12/03/2020,-5.0409,8.1502,13.1911,American_Airlines,2020-03-12
13/03/2020,-7.1949,-19.6742,-12.4793,American_Airlines,2020-03-13
16/03/2020,30.1941,29.503,-0.6911,American_Airlines,2020-03-16
17/03/2020,-2.2457,-12.0866,-9.8409,American_Airlines,2020-03-17
18/03/2020,-17.3519,-18.518,-1.1661,American_Airlines,2020-03-18
19/03/2020,-9.5663,-6.3502,3.2161,American_Airlines,2020-03-19
20/03/2020,-3.1054,1.1348,4.2402,American_Airlines,2020-03-20
23/03/2020,-4.7035,9.1419,13.8454,American_Airlines,2020-03-23
24/03/2020,18.056,39.4287,21.3726,American_Airlines,2020-03-24
25/03/2020,-6.5204,-2.5323,3.988,American_Airlines,2020-03-25
26/03/2020,-1.9936,-8.5013,-6.5077,American_Airlines,2020-03-26
27/03/2020,-4.7427,-11.4326,-6.69,American_Airlines,2020-03-27
30/03/2020,-5.7313,-1.8135,3.9178,American_Airlines,2020-03-30
31/03/2020,-4.0925,-12.1649,-8.0724,American_Airlines,2020-03-31
01/04/2020,-4.1974,-4.8798,-0.6824,American_Airlines,2020-04-01
02/04/2020,-5.6793,-4.4585,1.2208,American_Airlines,2020-04-02
03/04/2020,-7.5391,-5.721,1.8181,American_Airlines,2020-04-03
06/04/2020,-0.4956,12.9233,13.4189,American_Airlines,2020-04-06
07/04/2020,-5.1684,-1.7331,3.4352,American_Airlines,2020-04-07
08/04/2020,6.8719,18.1131,11.2412,American_Airlines,2020-04-08
09/04/2020,-0.0613,0.7348,0.7961,American_Airlines,2020-04-09
13/04/2020,-9.0129,-4.3216,4.6913,American_Airlines,2020-04-13
14/04/2020,-0.9291,1.8526,2.7817,American_Airlines,2020-04-14
15/04/2020,-0.1462,-4.6358,-4.4897,American_Airlines,2020-04-15
16/04/2020,-5.6913,0.3545,6.0457,American_Airlines,2020-04-16
17/04/2020,-1.8539,-6.6185,-4.7645,American_Airlines,2020-04-17
20/04/2020,0.527,-3.179,-3.7061,American_Airlines,2020-04-20
21/04/2020,3.5929,3.1625,-0.4304,American_Airlines,2020-04-21
22/04/2020,-6.2761,-6.2754,0.0007,American_Airlines,2020-04-22
23/04/2020,-0.3214,0.3656,0.687,American_Airlines,2020-04-23
24/04/2020,-0.394,0.2109,0.6049,American_Airlines,2020-04-24
27/04/2020,-2.9028,-1.7121,1.1907,American_Airlines,2020-04-27
28/04/2020,10.8779,17.7112,6.8333,American_Airlines,2020-04-28
29/04/2020,5.1165,-2.6042,-7.7207,American_Airlines,2020-04-29
30/04/2020,3.0576,-3.5651,-6.6226,American_Airlines,2020-04-30
01/05/2020,-5.3564,-18.4315,-13.0751,American_Airlines,2020-05-01
04/05/2020,6.6238,10.9421,4.3182,American_Airlines,2020-05-04
05/05/2020,-6.4564,-6.9059,-0.4496,American_Airlines,2020-05-05
06/05/2020,-1.997,-2.424,-0.427,American_Airlines,2020-05-06
07/05/2020,2.8926,5.204,2.3114,American_Airlines,2020-05-07
08/05/2020,4.1868,0.5496,-3.6372,American_Airlines,2020-05-08
11/05/2020,2.5745,1.4374,-1.1371,American_Airlines,2020-05-11
12/05/2020,-3.1323,-5.249,-2.1167,American_Airlines,2020-05-12
13/05/2020,-3.2974,-9.1206,-5.8232,American_Airlines,2020-05-13
14/05/2020,7.1801,3.2333,-3.9468,American_Airlines,2020-05-14
15/05/2020,2.678,9.2838,6.6057,American_Airlines,2020-05-15
18/05/2020,2.4421,4.2322,1.79,American_Airlines,2020-05-18
19/05/2020,-4.375,-2.8284,1.5466,American_Airlines,2020-05-19
