,,,,,,F,MGM,NCLH,KSS,GM,CCL,UAA,GPS,NKE,RCL
Datetime,Year,Month,Day,Hour,Minute,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open
2020-06-15 09:30:00-04:00,2020,06,15,09,30,6.179999828,18,18.36000061,21.5,26.61000061,18.13999939,9.18999958,9.800000191,93.90000153,55.75
2020-06-15 09:32:00-04:00,2020,06,15,09,32,6.227300167,18.14999962,18.77499962,21.60000038,26.84499931,18.31999969,9.329999924,9.828000069,94.31999969,56.5
2020-06-15 09:34:00-04:00,2020,06,15,09,34,6.125,18.03000069,18.67000008,21.54999924,26.61000061,18.04000092,9.25,9.770000458,93.65000153,56.49000168
2020-06-15 09:36:00-04:00,2020,06,15,09,36,6.185200214,18.32029915,18.75989914,21.79000092,26.85000038,18.27000046,9.300000191,9.880000114,93.70999908,57.21500015
2020-06-15 09:38:00-04:00,2020,06,15,09,38,6.260000229,18.41679955,19.03000069,22.04000092,27.10000038,18.54999924,9.340000153,9.970000267,93.95999908,58.30009842
2020-06-15 09:40:00-04:00,2020,06,15,09,40,6.230000019,18.23999977,19.05999947,21.93000031,27.01619911,18.52009964,9.305000305,9.93999958,93.75,57.88000107
2020-06-15 09:42:00-04:00,2020,06,15,09,42,6.275000095,18.53000069,19.06010056,22.21999931,27.13999939,18.77269936,9.425000191,10.06000042,93.83000183,58.30899811
2020-06-15 09:44:00-04:00,2020,06,15,09,44,6.264999866,18.51099968,19.05540085,22.11000061,27.19000053,18.79999924,9.409899712,10.05000019,93.79000092,58.29000092
2020-06-15 09:46:00-04:00,2020,06,15,09,46,6.269999981,18.47999954,19.04000092,22.04100037,27.17000008,18.75,9.425000191,10.06499958,93.77999878,58.1637001
2020-06-15 09:48:00-04:00,2020,06,15,09,48,6.224199772,18.28000069,18.8939991,22,27.04500008,18.56500053,9.404999733,10.01000023,93.73000336,57.79999924
2020-06-15 09:50:00-04:00,2020,06,15,09,50,6.237199783,18.43000031,19.04500008,22.05999947,27.03779984,18.67000008,9.409999847,10.07999992,93.81999969,58.05770111
2020-06-15 09:52:00-04:00,2020,06,15,09,52,6.269999981,18.47500038,19.20809937,22.19000053,27.12000084,18.88999939,9.430000305,10.10999966,93.93000031,58.40000153
2020-06-15 09:54:00-04:00,2020,06,15,09,54,6.260000229,18.46999931,19.20999908,22.11000061,27.01000023,18.89500046,9.43500042,10.06000042,93.94999695,58.34420013
2020-06-15 09:56:00-04:00,2020,06,15,09,56,6.260000229,18.55999947,19.21999931,22.14999962,26.97999954,18.93810081,9.449999809,10.11499977,93.87999725,58.50999832
2020-06-15 09:58:00-04:00,2020,06,15,09,58,6.199999809,18.45639992,18.875,21.87999916,26.87999916,18.63999939,9.345000267,9.965000153,93.77999878,57.66999817
